,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.010961294174194336,0.0002623314327899257,0.0,0.0,gini,auto,1,2,100,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,,,181
1,0.008864736557006836,0.0025775908144758464,0.0,0.0,gini,auto,1,2,200,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,,,181
2,0.005889987945556641,0.0001051327642400742,0.0,0.0,gini,auto,1,2,400,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",,,,,,,,181
3,0.005778121948242188,0.00011621944925747956,0.0,0.0,gini,auto,1,2,800,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",,,,,,,,181
4,0.005822563171386718,0.00015858693478088424,0.0,0.0,gini,auto,1,2,1600,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1600}",,,,,,,,181
5,0.0052982807159423825,0.0005162331129092307,0.0,0.0,gini,auto,1,5,100,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,,,181
6,0.005507802963256836,0.00048069252682227267,0.0,0.0,gini,auto,1,5,200,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,,,181
7,0.005368185043334961,0.0005005031549319616,0.0,0.0,gini,auto,1,5,400,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",,,,,,,,181
8,0.005412960052490234,0.0003961540209704471,0.0,0.0,gini,auto,1,5,800,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",,,,,,,,181
9,0.005109834671020508,0.0004732013708218555,0.0,0.0,gini,auto,1,5,1600,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1600}",,,,,,,,181
10,0.005217504501342773,0.00029559294279742163,0.0,0.0,gini,auto,1,10,100,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,,,181
11,0.0051898956298828125,0.0002730879750954894,0.0,0.0,gini,auto,1,10,200,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,,,181
12,0.005327606201171875,0.00042351493140332003,0.0,0.0,gini,auto,1,10,400,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",,,,,,,,181
13,0.005215501785278321,0.0004654170200171306,0.0,0.0,gini,auto,1,10,800,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 800}",,,,,,,,181
14,0.005201292037963867,0.00014621598583696308,0.0,0.0,gini,auto,1,10,1600,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1600}",,,,,,,,181
