"Name","Major.capsid","Minor.capsid","Baseplate","Major.tail","Minor.tail","Portal","Tail.fiber","Tail.shaft","Collar","HTJ","Other","Confidence","PhageRBPdetect_prediction","PhageRBDdetect_score","ESM_based_label","ESM_based_fiber_prediction"
"lcl|MZ501051.1_prot_QXV76132.1_1",0.22,0.84,0.18,0.21,0.34,0.85,0.49,0.24,0.46,0.38,5.79,0.98,0,2.4032468e-05," other",0
"lcl|MZ501051.1_prot_QXV76133.1_2",0,0,0,0,0,0,0,0,0,0,10,1,0,3.570606e-08," other",0
"lcl|MZ501051.1_prot_QXV76134.1_3",0.35,1.01,0.71,0.26,1.3,0.97,0.68,0.25,0.24,0.73,3.51,0.97,0,1.8178063e-06," other",0
"lcl|MZ501051.1_prot_QXV76135.1_4",0.01,0.23,0.02,0.01,0.03,0.1,0.09,0.01,0.16,0.03,9.32,1,0,1.1842123e-05," other",0
"lcl|MZ501051.1_prot_QXV76136.1_5",0.05,0.07,0.06,0.05,0.13,0.09,0.03,0.07,0.08,0.07,9.28,1,0,8.1518476e-05," other",0
"lcl|MZ501051.1_prot_QXV76137.1_6",0.78,0.78,0.61,0.36,0.22,4.75,0.68,0.29,0.24,0.26,1.03,0.91,0,0.00033161894," portal",0
"lcl|MZ501051.1_prot_QXV76138.1_7",1.3,1.32,2.36,0.82,0.22,0.64,0.37,0.13,0.23,1.21,1.39,0.74,0,0.000108033484," other",0
"lcl|MZ501051.1_prot_QXV76139.1_8",0.63,0.82,0.49,0.67,1.33,0.38,2.09,0.51,0.67,0.9,1.52,0.37,0,0.0006157605," other",0
"lcl|MZ501051.1_prot_QXV76140.1_9",1.35,0.9,1.07,1.09,1.01,0.69,1.15,0.4,0.78,0.52,1.04,0.8,0,0.013382602," other",0
"lcl|MZ501051.1_prot_QXV76141.1_10",0,0,0,0,0.43,0,9.55,0,0.01,0,0,0.97,1,0.9936505," tail_fiber",1
"lcl|MZ501051.1_prot_QXV76142.1_11",4.65,0.6,1.04,0.31,0.84,0.6,0.29,0.27,0.18,0.41,0.81,0.92,0,3.5403114e-05," major_capsid",0
"lcl|MZ501051.1_prot_QXV76143.1_12",0.03,0.18,0.04,0.17,0.03,0.05,0.05,0.02,0.08,0.42,8.94,1,0,0.0004661655," other",0
"lcl|MZ501051.1_prot_QXV76144.1_13",0.01,0.09,0.04,0.02,0.22,1.68,0.2,0.02,0.07,0.59,7.06,0.99,0,3.2045526e-05," other",0
"lcl|MZ501051.1_prot_QXV76145.1_14",0.15,0.28,1,3.4,0.59,0.85,0.53,0.24,0.31,0.77,1.86,0.67,0,5.9655937e-05," other",0
"lcl|MZ501051.1_prot_QXV76146.1_15",0.81,5.56,0.39,0.16,0.27,0.14,0.95,0.07,0.29,0.18,1.17,0.19,0,1.0183492e-07," other",0
"lcl|MZ501051.1_prot_QXV76147.1_16",0.07,0.21,0.06,0.25,5.06,0.31,0.48,0.04,0.1,0.09,3.33,0.87,0,0.0004495967," other",0
"lcl|MZ501051.1_prot_QXV76148.1_17",0.09,0.13,0.2,8.9,0.11,0.04,0.16,0.02,0.07,0.08,0.21,0.98,0,0.11072606," major_tail",0
"lcl|MZ501051.1_prot_QXV76149.1_18",0.03,0.14,0.06,0.02,0.05,0.02,0.28,0.03,0.05,0.07,9.26,1,0,2.838254e-07," other",0
"lcl|MZ501051.1_prot_QXV76150.1_19",0.11,0.32,0.35,0.21,0.26,0.53,0.26,0.24,0.32,3.2,4.21,0.97,0,3.1677627e-07," other",0
"lcl|MZ501051.1_prot_QXV76151.1_20",0.01,0.03,0.01,0.01,0.08,0.18,0.08,0.01,0.08,0.49,9.04,1,0,9.42513e-06," other",0
"lcl|MZ501051.1_prot_QXV76152.1_21",0.92,6.67,0.49,0.03,0.16,0.33,0.43,0.09,0.12,0.13,0.62,0.23,0,5.437277e-06," other",0
"lcl|MZ501051.1_prot_QXV76153.1_22",0.01,0.02,0.04,0.03,8.4,0.02,0.08,0,0.01,0.02,1.38,0.95,0,7.854343e-05," minor_tail",0
"lcl|MZ501051.1_prot_QXV76154.1_23",0,0.01,0.01,0.02,9.89,0,0.02,0,0,0,0.04,0.99,0,0.005943114," minor_tail",0
"lcl|MZ501051.1_prot_QXV76155.1_24",0.01,0.14,0.01,0.05,0.16,0.23,0.15,0.01,0.01,0.07,9.16,1,0,5.688443e-06," other",0
"lcl|MZ501051.1_prot_QXV76156.1_25",0,0.01,0.01,0.01,8.65,0.01,0.03,0,0,0.03,1.25,0.96,0,2.8537012e-05," minor_tail",0
"lcl|MZ501051.1_prot_QXV76157.1_26",3.19,0.74,0.42,0.55,0.27,0.27,0.77,0.2,0.6,0.6,2.39,0.87,0,4.0159015e-05," other",0
"lcl|MZ501051.1_prot_QXV76158.1_27",0,0.01,0.03,0,0.03,0,9.82,0,0.09,0,0.01,1,1,0.99849904," tail_fiber",1
"lcl|MZ501051.1_prot_QXV76159.1_28",0.12,0.31,0.75,0.61,0.66,0.14,4.25,0.24,2.1,0.17,0.66,0.57,1,0.93514645," other",0
"lcl|MZ501051.1_prot_QXV76160.1_29",0,0,0,0,0,0,0.01,0,0,0,9.98,1,0,1.1295827e-07," other",0
"lcl|MZ501051.1_prot_QXV76161.1_30",0.01,0.07,0.02,0.12,0.06,0.02,0.18,0.01,0.03,0.03,9.46,1,0,8.481389e-08," other",0
"lcl|MZ501051.1_prot_QXV76162.1_31",0.01,0,0.13,0,0,0,0,0,0,0.03,9.82,1,0,6.5573504e-06," other",0
"lcl|MZ501051.1_prot_QXV76163.1_32",0.01,0.02,0.01,0,0,0.02,0.01,0.01,0.02,0,9.91,1,0,0.00022563395," other",0
"lcl|MZ501051.1_prot_QXV76164.1_33",0.03,0.1,0.01,0.01,0.02,0.02,0.08,0.02,0.02,0.12,9.56,1,0,3.199584e-05," other",0
"lcl|MZ501051.1_prot_QXV76165.1_34",0.05,0.3,0.02,0.02,0.1,0.26,0.45,0.06,0.26,0.28,8.21,0.99,0,7.959605e-07," other",0
